,Show_Number,Air_Date,Round,Category,Value,Question,Answer,Float_Value,,
79473,4230,2003-01-10,Double Jeopardy!,ANIMATED MOVIES,$2000,"In a film set in Africa, this ""Lion King"" is befriended by a meerkat named Timon & a warthog named Pumbaa",Simba,2000,,
79599,5913,2010-05-05,Final Jeopardy!,MOVIE HISTORY,None,"During the making of this classic, sets from ""King Kong"" & ""The Garden of Allah"" were intentionally burned down",Gone with the Wind,0,,
79635,3339,1999-02-25,Double Jeopardy!,BIG WORDS,$200,It cost just 37 cents when Burger King introduced it in 1957,the Whopper,200,,
79967,2828,1996-12-11,Jeopardy!,HISTORY,$100,"In accepting this charter, King John acknowledged that he too was subject to the law of the land",Magna Carta,100,,
80113,5827,2010-01-05,Jeopardy!,"""M"" & ""M""",$1000,"England's King Charles II was known by this ""jovial"" nickname","""the Merry Monarch""",1000,,
80177,5134,2006-12-28,Double Jeopardy!,BLOOD SIMPLE,$400,"In 1920, King Alexander of Greece, bitten by a monkey, died of septicemia, also called by this 2-word name",blood poisoning,400,,
80181,5134,2006-12-28,Double Jeopardy!,MILLER'S CROSSING,$800,"Country legend who wrote & sang ""King of the Road""",Roger Miller,800,,
80431,4846,2005-10-10,Double Jeopardy!,"I SEE LONDON, I SEE FRANCE",$1200,In 1066 William the Conqueror was crowned King at this famous abbey,Westminster Abbey,1200,,
80442,4846,2005-10-10,Double Jeopardy!,"I SEE LONDON, I SEE FRANCE",$2000,"After his capture during this long war with France, Chaucer's ransom was paid by King Edward III & he was released",the Hundred Years' War,2000,,
80490,4537,2004-05-04,Double Jeopardy!,EUROPEAN CAPITALS,$1600,The column of King Sigismund in this Polish city honors the king who moved the capital there from Krakow in 1596,Warsaw,1600,,
80543,3548,2000-01-26,Double Jeopardy!,COUNTRY MUSIC LEGENDS,$600,"3 years before ""King of the Road"" sold a million, he was a drummer in Faron Young's band",Roger Miller,600,,
80586,3948,2001-10-31,Jeopardy!,TV OR NOT TV,$500,Prof. Charles Kingsfield made law students cry the old-fashioned way both on film & on CBS in this series,The Paper Chase,500,,
80597,3948,2001-10-31,Double Jeopardy!,KINGS OF ENGLAND,$400,"King who's railing <a href=""http://www.j-archive.com/media/2001-10-31_DJ_03.wmv"">here</a> in the Thomas More biopic ""A Man for All Seasons""  <i>""Catherine's not my wife!  No priest can make her so!""</i>",Henry VIII,400,,
80833,5713,2009-06-10,Double Jeopardy!,THE DARK KNIGHT,$400,In one legend this top knight disguises himself in black armor to help King Arthur after they've had a falling out,Sir Lancelot,400,,
80839,5713,2009-06-10,Double Jeopardy!,THE DARK KNIGHT,$800,"In this Monty Python film, King Arthur battles a very, very determined Black Knight",Monty Python and the Holy Grail,800,,
80846,5713,2009-06-10,Double Jeopardy!,THE CURIOUS CASE OF BENJAMIN BRITTEN,$1200,"In Britten's opera ""Albert Herring"", a young man is made this springtime ""King"" because no village girl is fit to be ""Queen""",the May King,1200,,
80983,4682,2005-01-04,Jeopardy!,THE KING,$200,"Walter Winchell & George M. Cohan have each been called the ""King of"" this thoroughfare",Broadway,200,,
80989,4682,2005-01-04,Jeopardy!,THE KING,$400,"Though born in November 1854, he was known as the ""March King""",Sousa,400,,
80995,4682,2005-01-04,Jeopardy!,THE KING,$600,"In the 1980s he was known as the ""Junk Bond King""",Michael Milken,600,,
81001,4682,2005-01-04,Jeopardy!,THE KING,$800,"She--yes, she--was known as ""King of the Court""",Billie Jean King,800,,
81007,4682,2005-01-04,Jeopardy!,THE KING,$1000,"California lawyer Melvin Belli was famous as the ""King of"" these",torts,1000,,
81009,4682,2005-01-04,Double Jeopardy!,FIRST LADIES,$400,"Her April 14th, 1964 diary entry revealed she asked King Hussein of Jordan for his autograph at a state dinner",Lady Bird Johnson,400,,
81179,6279,2011-12-29,Double Jeopardy!,OPERA,$400,"This title character is sent to fetch Isolde, his uncle King Mark's intended bride",Tristan,400,,
81423,6109,2011-03-17,Double Jeopardy!,YAHWEH,$400,"In the King James Bible, Yahweh, the personal name of God, is rendered as this",Jehovah,400,,
81476,3700,2000-10-06,Jeopardy!,A COUNTRY IN EUROPE,$500,King Juan Carlos I is the reigning monarch of this European nation of about 40 million people,Spain,500,,
81846,4275,2003-03-14,Double Jeopardy!,THE 13th CENTURY,$400,Pope Innocent III issued a bull to annul this document agreed to by King John in 1215 -- didn't work,Magna Carta,400,,
81937,6138,2011-04-27,Jeopardy!,3-SYLLABLE WORDS,$200,It's the first 3-syllable word in the text of the King James Bible,beginning,200,,
82168,3946,2001-10-29,Double Jeopardy!,"OPERA HAS BEEN VERDI, VERDI GOOD TO ME",$1000,"Verdi's last opera, this comic masterpiece is based in part on Shakespeare's ""King Henry IV""",Falstaff,1000,,
82178,736,1987-11-16,Jeopardy!,AKA,$100,"Until he was six, his name was Michael Luther King, Jr.","Martin Luther King, Jr.",100,,
82477,2251,1994-05-23,Jeopardy!,THE BIBLE,$100,"This city, the birthplace of Jesus, was also where Samuel anointed King David",Bethlehem,100,,
82756,3477,1999-10-19,Double Jeopardy!,WORLD LITERATURE,$400,A Paris crowd selects this character as King of Fools for the Epiphany celebrations of 1482,The Hunchback of Notre Dame (Quasimodo),400,,
82762,3477,1999-10-19,Double Jeopardy!,WORLD LITERATURE,$600,The title character of this epic poem is the nephew of King Hygelac of the Geats,Beowulf,600,,
82785,5475,2008-05-30,Jeopardy!,HISTORIC NICKNAMES,$400,"During this decades-long war, Sweden's King Gustavus Adolphus became known as the ""Lion of the North""",the 30-Year War,400,,
82819,5475,2008-05-30,Double Jeopardy!,"""P"" COUNTRY",$800,King Afonso I's 57-year reign from 1128-85 was an important factor in this country's independence from a larger neighbor,Portugal,800,,
82969,3639,2000-06-01,Jeopardy!,THE SOMEONE OF SOMEWHERE,$200,"Firdawsi, known for his epic ""Book of Kings"", has been called this Greek poet ""of Persia""",Homer,200,,
83061,5401,2008-02-18,Double Jeopardy!,ANCIENT ROME,$800,"King Ancus Marcius is said to have built the Sublician Bridge, the first bridge across this river, in the 7th c. B.C.",the Tiber,800,,
83109,3437,1999-07-13,Jeopardy!,LIVE FROM THE SCENE,$500,"In 1994 the Larry King special ""The UFO Cover-Up?"" broadcast live from this ""area""",Area 51,500,,
83193,5170,2007-02-16,Double Jeopardy!,ANCIENT TIMES,$1600,"In the 700s B.C., the Kingdom of Kush conquered this neighbor to the north, establishing its 25th dynasty",Egypt,1600,,
83322,3595,2000-03-31,Double Jeopardy!,THE MOVIES,$1000,"The Clark Gable-Yvonne De Carlo film ""Band of Angels"" is based on a novel by this ""All The King's Men"" author",Robert Penn Warren,1000,,
83441,3929,2001-10-04,Double Jeopardy!,"MORE OF ""DE"" BEST PEOPLE",$1000,"Among the films he's produced are ""Conan the Barbarian"" & the 1976 version of ""King Kong""",Dino De Laurentiis,1000,,
83548,3586,2000-03-20,Double Jeopardy!,"""LE"" CATEGORIE",$600,Some legends say she was King Arthur's sister,Morgan le Fay,600,,
83593,3045,1997-11-21,Double Jeopardy!,WASHINGTONIANS,$400,"Lisa Halaby, born in D.C. in 1951, married King Hussein & became Queen Noor of this country",Jordan,400,,
83903,5041,2006-07-10,Double Jeopardy!,THE 2005 FORTUNE 500,$2000,"It may be a ""Wild Kingdom"" out there, but at 491, this corporation isn't afraid to insure it",Mutual of Omaha,2000,,
84173,4625,2004-10-15,Jeopardy!,ORGANIZED RELIGION,$600,"Alharamain, King Faisal Foundation",Islam,600,,
84639,1558,1991-05-15,Jeopardy!,FILMS OF THE '90S,$200,"He went from second banana on ""Roseanne"" to top banana of England in ""King Ralph""",John Goodman,200,,
84794,1221,1989-12-18,Double Jeopardy!,SINGERS FROM VIRGINIA,$400,"When FDR introduced this patriotic singer to King George VI, he said, ""...This Is America""",Kate Smith,400,,
84897,5559,2008-11-06,Jeopardy!,"PETER, PETER",$1000,"Sir Walter Scott wrote a tale called ""The Talisman"" in 1825; Stephen King & this man, a little more recently",Peter Straub,1000,,
85182,778,1988-01-13,Jeopardy!,HISTORIC NAMES,$300,Juan Carlos I was sworn in as King of Spain 2 days after the death of this man in 1975,Franco,300,,
85300,6265,2011-12-09,Jeopardy!,HIP HOP HOOPSTERS,$600,"This former University of Michigan & Sacramento Kings star raps as ""C. Webb""",Chris Webber,600,,
85517,5139,2007-01-04,Double Jeopardy!,SOUNDS SIMILAR,$1200,"Stephen King heroine Claiborne in a miserable state from the Latin for ""pain""",dolorous Dolores,1200,,
85667,3914,2001-09-13,Jeopardy!,NAME DRINKS,$300,"Hold on... ginger ale or cola, grenadine & a cherry... there's no alcohol in this ""Cowboy King""'s drink!",Roy Rogers,300,,
85764,5865,2010-02-26,Double Jeopardy!,THE 2009 TONY AWARDS,$2000,"Geoffrey Rush won a Tony for his work in the revival of this French absurdist's ""Exit the King""",Eugene Ionesco,2000,,
86024,4263,2003-02-26,Jeopardy!,LIBROS EN ESPANOL,$600,"Stephen King: ""Corazones en la Atlantida""","""Hearts in Atlantis""",600,,
86226,4246,2003-02-03,Double Jeopardy!,THE 1400s,$400,The age of this this type of fighting man was ending, the Teutonic ones got whupped by King Casimir IV of Poland,knights,400,
86316,1906,1992-12-14,Jeopardy!,LITERATURE,$100,"His stores include ""The Man Who Was"" and ""The Man Who Would Be King""",Rudyard Kipling,100,,
86396,1837,1992-09-08,Jeopardy!,THE BIBLE,$700,In Matthew the value of entering the Kingdom of Heaven is likened to this gem,a pearl,700,,
86412,1837,1992-09-08,Double Jeopardy!,ROYALTY,$400,This country's King Olaf V was born in England & was the grandson of King Edward VII,Norway,400,,
86515,4630,2004-10-22,Jeopardy!,RATED PG,$1000,Kingdom of Far Far Away…  Hello!  Larry King voices an ugly stepsister in this sequel,Shrek 2,1000,,
86593,2583,1995-11-22,Double Jeopardy!,BODIES OF WATER,$800,"Site of a massive oil spill in 1989, it was named for the third son of King George III",Prince William Sound,800,,
86600,2583,1995-11-22,Double Jeopardy!,THEATRE,$1000,"A man named Berenger appears in several of his plays including ""Rhinoceros"" & ""Exit the King""",Eugène Ionesco,1000,,
87192,3449,1999-09-09,Final Jeopardy!,HISTORIC DATES,None,"It's reported that on this date King George III wrote in his diary, ""Nothing of importance happened today""","July 4, 1776",0,,
87243,5944,2010-06-17,Double Jeopardy!,TITLE CHARACTERS,$1600,"Kingsley Amis wrote of this ""Lucky"" lecturer",Lucky Jim,1600,,
87342,6130,2011-04-15,Jeopardy!,MALLS OF AMERICA,$1000,"All hail this state's King of Prussia Mall, one of the largest shopping complexes on the East Coast",Pennsylvania,1000,,
87390,4710,2005-02-11,Jeopardy!,SECRETARY'S DAY,$600,In the 1930s this future U. S. president was secretary to former King Ranch foreman Richard Kleberg,Lyndon Johnson,600,,
87607,3732,2000-11-21,Double Jeopardy!,VIBE,$800,"Vibe's September 1998 cover story on this actor/singer was titled ""The Fresh King""",Will Smith,800,,
87741,2962,1997-06-17,Jeopardy!,BUSINESS & INDUSTRY,$100,"This Pittsburgh-based food entrepreneur was once known as the ""Pickle King""",H.J. Heinz,100,,
87775,2962,1997-06-17,Double Jeopardy!,1836,$400,Adelaide in this country was founded in 1836 & named for the wife of King William IV,Australia,400,,
87966,3640,2000-06-02,Double Jeopardy!,AN ACTOR'S LIFE FOR ME,$800,"(Hi, I'm Nathan Lane)  In my (sad little) career I've played a priest, a gangster, a Roman slave & a wisecracking one of these in the film ""The Lion King""",Meerkat,800,,
88236,5828,2010-01-06,Jeopardy!,YOU'VE BEEN TRADED,$600,"In 1988 the Oilers sent this ""Great One"" (& 2 others) to the L.A. Kings, getting 2 players, 3 picks & $15 mil. in return",Wayne Gretzky,600,,
88396,3222,1998-09-15,Double Jeopardy!,CAN'T QUITE PLACE YOU,$1000,"When King Charles II of this country died in 1700, a ""war of"" its ""succession"" ensued",Spain,1000,,
88503,4272,2003-03-11,Double Jeopardy!,STATE CAPITAL BIRTHPLACES,$800,"Nobel Prize winner Martin Luther King, Jr.",Atlanta,800,,
88974,3029,1997-10-30,Double Jeopardy!,THE OSCARS,$200,"Though he's acted on screen, as in ""Tommy"", his first nomination & win was for a song in ""The Lion King""",Elton John,200,,
89147,3203,1998-07-01,Jeopardy!,ROYALTY,$500,King Carol II of this country was married to Princess Helen of Greece when he began romancing Magda Lupescu,Romania,500,,
89221,1486,1991-02-04,Double Jeopardy!,1958,$600,"The World's Fair, symbolized by a 334-foot high atomium, was opened April 17 by King Baudouin in this capital",Brussels,600,,
89227,1486,1991-02-04,Double Jeopardy!,1958,$800,Jordan's King Hussein's cousin was overthrown and killed in this neighboring country,Iraq,800,,
89421,4856,2005-10-24,Jeopardy!,THE OLD TESTAMENT,$400,I Chronicles 15 reports even King David was dancing when he brought this container into Jerusalem,the Ark of the Covenant,400,,
89520,5537,2008-10-07,Double Jeopardy!,NAME THE VEEP,$1200,"Riley B.B. King, William Rufus DeVane King, Bernard King",William Rufus DeVane King,1200,,
89563,3088,1998-01-21,Jeopardy!,BRITISH ROYAL LOVE AFFAIRS,$500,"This famous diarist's wife called King Charles II's mistress 'Moll' Davis ""The Most Impertinent Slut""",Samuel Pepys,500,,
89672,5390,2008-02-01,Jeopardy!,BETWEEN,$600,Bible book between John & Romans in the King James Version,Acts (of the Apostles),600,,
89710,5390,2008-02-01,Double Jeopardy!,"""CAN""NED WORDS",$1600,This 11th Century King of England also ruled Denmark & Norway during the latter part of his reign,Canute,1600,,
89782,6022,2010-11-16,Jeopardy!,INTERNATIONAL DATE LINE,$400,"June15, 1215: At Runnymede, King John puts his seal on this document",the Magna Carta,400,,
89874,5959,2010-07-08,Double Jeopardy!,10-12 YEARS,$800,The Oracle at Delphi told this Greek hero he had to perform labors for King Eurystheus for 12 years,Hercules,800,,
89950,3135,1998-03-27,Double Jeopardy!,EUROPEAN PAINTERS,$1000,This Spaniard was named first court painter to King Charles IV in 1799,Goya,1000,,
90059,3890,2001-06-29,Double Jeopardy!,BIBLICAL ARCHAEOLOGY REVIEW,$600,"A stele unearthed in 1993 in these ""heights"" bears the name of King David & may confirm his historic reality",Golan Heights,600,,
90300,1214,1989-12-07,Double Jeopardy!,WOMEN IN MYTHOLOGY,$600,"Half sister of King Arthur, in various tales she was good or evil",Morgan le Fay,600,,
90470,4959,2006-03-16,Jeopardy!,"AS YOU LIKE ""IT""",$1000,"According to the Gospel of John in the King James Bible, they were the last 3 words spoken by Jesus on the Cross","""It is finished""",1000,,
91042,3349,1999-03-11,Double Jeopardy!,THE ENGLISH MONARCH SPEAKS,$1000,"In 1610 this Scot told Parliament ""Kings are...God's lieutenants upon Earth""",James I,1000,,
91104,1175,1989-10-13,Final Jeopardy!,SHAKESPEARE,None,"He appears in 3 of Shakespeare's plays & his death is reported in ""King Henry V""",Sir John Falstaff,0,,
91266,4339,2003-06-12,Double Jeopardy!,'80s BESTSELLERS,$800,Man's best friend turns into man's worst enemy in this 1981 tale of terror by Stephen King,"""Cujo""",800,,
91299,3225,1998-09-18,Jeopardy!,"WHAT YEAR WAS THAT, GUV?",$300,King John puts his seal on the Magna Carta,1215,300,,
91439,523,1986-12-10,Double Jeopardy!,CLASSICAL MUSIC,$400,"This ""King of Swing"" recorded Mozart's Quintet in A Major for Clarinet & Strings",Benny Goodman,400,,
91560,3569,2000-02-24,Double Jeopardy!,THE QUESTION IS...,$400,"Rodney King popularized this catchphrase with his May 1, 1992 statement in the wake of the L.A. riots",Can we all get along?,400,,
92016,1630,1991-10-04,Double Jeopardy!,THE 1830S,$200,"She became a queen in 1837 after her uncle, King William IV, died",Victoria,200,,
92100,1197,1989-11-14,Double Jeopardy!,PLAYWRIGHTS,$1000,"After writing ""The School for Scandal"", he became an M.P. and an advisor to the future King George IV",Richard Brinsley Sheridan,1000,,
92189,3198,1998-06-24,Jeopardy!,A THAILAND FLING,$500,First name of the famous Western governess of King Rama IV's son,Anna,500,,
92569,3435,1999-07-09,Double Jeopardy!,'50s POP MUSIC,$400,"Title men on the charts in 1958 included the Kingston Trio's ""Tom Dooley"" & his ""Johnny B. Goode""",Chuck Berry,400,,
92601,5246,2007-06-04,Jeopardy!,THE SULTANS,$400,"In 1957 Sultan Muhammad V took the title ""King"" a year after France gave this north African country its independence",Morocco,400,,
92652,5085,2006-10-20,Jeopardy!,FAMOUS CANADIANS,$200,"A native of Cardston, Alberta, she went native co-starring with King Kong in 1933",Fay Wray,200,,
92689,5085,2006-10-20,Double Jeopardy!,"""B"" ACTORS",$800,"I kid you not!  In 1972 he brought his famous role to TV, starring in a sitcom version of ""Anna and the King""",Yul Brynner,800,,
93286,371,1986-02-10,Double Jeopardy!,THE SHORTEST,$200,Shortest on record lasted 38 minutes in 1896 & involved the United Kingdom and Zanzibar,the shortest war,200,,
93291,371,1986-02-10,Double Jeopardy!,SHAKESPEARE,$400,"King Henry IV complained ""Uneasy lies the head"" that does this",wears the crown,400,,
93303,371,1986-02-10,Double Jeopardy!,ANCIENT HISTORY,$1000,"King Philip of Macedonia hired him as private tutor for his son, Alexander",Aristotle,1000,,
